URL,Link
http://www.energyhub.org/wp-content/uploads/Monthly-Solar-Irradiation-Data-Prince-Edward-Island.png,"<img decoding=""async"" width=""284"" height=""410"" src=""http://www.energyhub.org/wp-content/uploads/Monthly-Solar-Irradiation-Data-Prince-Edward-Island.png"" alt=""Monthly Solar Irradiation Data Prince Edward Island"" class=""wp-image-6372"" style=""width:173px;height:250px"" srcset=""https://www.energyhub.org/wp-content/uploads/Monthly-Solar-Irradiation-Data-Prince-Edward-Island.png 284w, https://www.energyhub.org/wp-content/uploads/Monthly-Solar-Irradiation-Data-Prince-Edward-Island-208x300.png 208w"" sizes=""(max-width: 284px) 100vw, 284px"" />"
https://energyhub.org/wp-content/uploads/Solar-Power-Map-Prince-Edward-Island.jpg,"<img decoding=""async"" width=""655"" height=""450"" src=""http://www.energyhub.org/wp-content/uploads/Solar-Energy-Map-Prince-Edward-Island.jpg"" alt=""Solar Energy Map Prince Edward Island"" class=""wp-image-6394"" style=""width:364px;height:250px"" srcset=""https://www.energyhub.org/wp-content/uploads/Solar-Energy-Map-Prince-Edward-Island.jpg 655w, https://www.energyhub.org/wp-content/uploads/Solar-Energy-Map-Prince-Edward-Island-300x206.jpg 300w"" sizes=""(max-width: 655px) 100vw, 655px"" />"
https://energyhub.org/solar-energy-maps-canada/,Solar Maps
http://www.energyhub.org/wp-content/uploads/Utility-Solar-Connection-Policies-Canada.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Utility-Solar-Connection-Policies-Canada.jpg"" alt=""Utility &amp; Solar Connection Policies Canada"" class=""wp-image-9204"" style=""object-fit:contain;width:550px;height:275px""/>"
https://www.maritimeelectric.com/services/articles/net-metering/,Net Metering Policy
https://energyhub.org/saskatchewan/,Saskatchewan
https://energyhub.org/manitoba/,Manitoba
http://www.energyhub.org/wp-content/uploads/Electricity-Costs-for-Solar-Canada.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Electricity-Costs-for-Solar-Canada.jpg"" alt=""Electricity Costs for Solar Canada"" class=""wp-image-9227"" style=""object-fit:contain;width:550px;height:274px""/>"
https://energyhub.org/electricity-prices/,Electricity Prices
http://www.energyhub.org/wp-content/uploads/Electricity-Bill-Rate-Design.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Electricity-Bill-Rate-Design.jpg"" alt=""Electricity Bill Rate Design"" class=""wp-image-9200"" style=""object-fit:contain;width:550px;height:275px""/>"
http://www.energyhub.org/nova-scotia/,Nova Scotia
https://energyhub.org/british-columbia/,British Columbia
https://energyhub.org/electricity-prices/,Electricity Prices
https://www.energyhub.org/wp-content/uploads/Average-Fixed-Costs-Electricity-Canada.jpg,"<img decoding=""async"" src=""https://www.energyhub.org/wp-content/uploads/Average-Fixed-Costs-Electricity-Canada.jpg"" alt=""Average Fixed Costs Electricity Canada"" class=""wp-image-12885""/>"
https://www.energyhub.org/wp-content/uploads/Average-Fixed-Costs-of-Electricity-in-Canada.jpg,"<img decoding=""async"" src=""https://www.energyhub.org/wp-content/uploads/Average-Fixed-Costs-of-Electricity-in-Canada.jpg"" alt=""Average Fixed Costs of Electricity in Canada"" class=""wp-image-12886""/>"
http://www.energyhub.org/wp-content/uploads/Solar-Energy-Financing-Canada.jpg,"<img decoding=""async"" src=""http://www.energyhub.org/wp-content/uploads/Solar-Energy-Financing-Canada.jpg"" alt=""Solar Energy Financing Canada"" class=""wp-image-9202"" style=""object-fit:contain;width:550px;height:273px""/>"
#common-solar-questions,Common Questions
https://energyhub.org/solar-installation-estimate/,get a quote through us
https://pace-atlantic.org/homeowners/,PACE Atlantic
https://natural-resources.canada.ca/energy-efficiency/homes/canada-greener-homes-initiative/canada-greener-homes-loan/24286,Federal Greener Homes Program
https://www.energyhub.org/financing/,Clean Energy Financing Page
http://www.energyhub.org/solar-cost-estimate/,Get a cost estimate
https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.energyhub.org%2Fprince-edward-island%2F,Share on Facebook
https://twitter.com/intent/tweet?text=Solar%20Power%20Prince%20Edward%20Island%20%282024%20Guide%29&url=https://www.energyhub.org/prince-edward-island/&via=energyhuborg,Tweet on Twitter
https://www.linkedin.com/shareArticle?trk=Solar+Power+Prince+Edward+Island+%282024+Guide%29&url=https%3A%2F%2Fwww.energyhub.org%2Fprince-edward-island%2F,Share on Linkedin
https://www.energyhub.org/contribute/,Spot an error or have a recommendation? Click here to let us know.
about:blank,
https://www.princeedwardisland.ca/en/information/transportation-infrastructure-and-energy/solar-electric-rebate-program,https://www.princeedwardisland.ca/en/information/transportation-infrastructure-and-energy/solar-electric-rebate-program
https://www.energyhub.org/creative-commons/,Click here to learn more
http://www.energyhub.org/solar-cost-estimate/,Get one now!
https://www.energyhub.org/solar/,Solar Guides
https://www.energyhub.org/solar-energy-maps-canada/,Solar Maps
https://www.energyhub.org/cost-solar-power-canada/,Solar Cost
https://www.energyhub.org/ev-map-canada/,EV Charging
https://www.energyhub.org/electricity-prices/,Electricity Prices
https://www.energyhub.org/incentives/,Incentives
https://www.energyhub.org/financing/,Financing
https://www.energyhub.org/targets/,Targets
https://www.energyhub.org/carbon-pricing/,Carbon Pricing
https://www.energyhub.org/climate-action-plans/,Climate Plans
https://www.energyhub.org,Home
https://www.energyhub.org/about/,About
https://www.energyhub.org/contact/,Contact
https://www.energyhub.org/contribute/,Contribute
https://www.energyhub.org/advertising-marketing-services/,Business Services
https://www.energyhub.org/solar/,Provincial Solar Guides & Rankings
https://www.energyhub.org/alberta/,AB
https://www.energyhub.org/british-columbia/,BC
https://www.energyhub.org/manitoba/,MB
https://www.energyhub.org/new-brunswick/,NB
https://www.energyhub.org/newfoundland-and-labrador/,NL
https://www.energyhub.org/nova-scotia/,NS
https://www.energyhub.org/northwest-territories/,NT
https://www.energyhub.org/nunavut/,NU
https://www.energyhub.org/ontario/,ON
https://www.energyhub.org/prince-edward-island/,PE
https://www.energyhub.org/quebec-english/,QC
https://www.energyhub.org/saskatchewan/,SK
https://www.energyhub.org/yukon-territory/,YT
https://www.facebook.com/energyhuborg/,
https://twitter.com/energyhuborg,
https://www.linkedin.com/company/energyhuborg/,
https://www.energyhub.org/,Copyright © 2023
https://www.energyhub.org/creative-commons/,Licensed under Creative Commons (CC BY)
https://www.energyhub.org/privacy-notice/,Privacy Notice
https://www.energyhub.org/terms-of-service/,Terms of Service
https://generatepress.com,GeneratePress
